COUNTRY_CODE,ORIGINAL_CHANNEL,LOCAL_CHANNEL,CHANNEL_USAGE,SOCIAL_COMMERCIAL,STRATEGIC_CHANNEL,GLOBAL_CHANNEL,GLOBAL_SUBCHANNEL
IT,alimentari-gastronomia,Bar,Key,-1
IT,PIADINERIA,Bar,Key,-1
IT,TAVOLA CALDA,Bar,Key,-1
IT,ristorante-pub,Bar,Key,-1
IT,rosticceria,Bar,Key,-1
IT,hamburgheria,Bar,Key,-1
IT,restaurants_chain,Bar,Key,-1
IT,CATENA RISTORATIVA,Bar,Key,-1
IT,bar pub,Bar,Key,-1
IT,birreria,Bar,Key,-1
IT,pub birreria,Bar,Key,-1
IT,qsrs_foodtrucks,Bar,Key,-1
IT,bar-caffetteria,Bar,Key,-1
IT,work-place-canteens,Bar,Key,-1
IT,bar ristorante,Bar,Key,-1
IT,barman,Bar,Key,-1
IT,gelateria,Bar,Key,-1
IT,risto-pub,Bar,Key,-1
IT,caffetteria,Bar,Key,-1
IT,bar-pizzeria,Bar,Key,-1
IT,ristorante bar,Bar,Key,-1
IT,ristorante-panini,Bar,Key,-1
IT,bar-ristorante-pizzeria,Bar,Key,-1
IT,pubs-bars-coffee-tea-shops_pubs,Bar,Key,-1
IT,bistrot,Bar,Key,-1
IT,panetteria,Bar,Key,-1
IT,hamburgeria,Bar,Key,-1
IT,qsrs_confectionery,Bar,Key,-1
IT,Cadena,Bar,Key,-1
IT,qsrs_bakery,Bar,Key,-1
IT,qsrs_selfservice,Bar,Key,-1
IT,locale,Bar,Key,-1
IT,bar-pub,Bar,Key,-1
IT,bar-risto,Bar,Key,-1
IT,bartender,Bar,Key,-1
IT,negozio-bar,Bar,Key,-1
IT,bar-tabacchi,Bar,Key,-1
IT,birreria-pub,Bar,Key,-1
CN,????????,,,-1
CN,????,,,-1
CN,??,,,-1
CN,????,,,-1
CN,???,,,-1
CN,??,,,-1
CN,??,,,-1
CN,???,,,-1
CN,Otros,,,-1
CN,?????????,,,-1
CN,??- 2 3????,,,-1
CN,Bar cafetería,,,-1
CN,??,,,-1
CN,??,,,-1
CN,??,,,-1
CN,??,,,-1
CN,??,,,-1
CN,???,,,-1
CN,???,,,-1
CN,???,,,-1
CN,??/??,,,-1
CN,Cadena,,,-1
GR,??????????,,,-1
GR,HOTEL-TOURISTIC,,,-1
GR,CAFÉ,,,-1
GR,QSR-GRILL,,,-1
GR,QSR-SNACK SANDWICH,,,-1
GR,CAFÉ-RESTAURANT,,,-1
GR,CAFÉ - RESTAURANT,,,-1
GR,QSR-PIZZA,,,-1
GR,??????????,,,-1
GR,??????????,,,-1
GR,TAVERN,,,-1
GR,HOTEL-CITY,,,-1
GR,??????????????,,,-1
GR,QSR - SNACK SANDWICH,,,-1
GR,RESTAURANT - FSR,,,-1
GR,HOTEL - TOURISTIC,,,-1
GR,??????????,,,-1
GR,RESTAURANT - TAVERNA,,,-1
GR,QSR - GRILL,,,-1
GR,SPECIAL PARTNER,,,-1
GR,CHEF,,,-1
GR,RESTAURANT,,,-1
GR,CAFE,,,-1
GR,??????????,,,-1
GR,QSR-SANDWICH,,,-1
